key,English
animalHornet,Hornet
animalQueenHornet,Queen Hornet
animalRadiatedHornet,Radiated Hornet
animalInfernalHornet,Infernal Hornet
animalChargedHornet,Charged Hornet
zombieBehemoth,Zombie Behemoth
zombieBehemothRadiated,Radiated Behemoth
zombieBootyWarrior,"Booty Warrior"
animalCannibalRabbit,Rabbit
animalCannibalChicken,Chicken

resourceCopperPlate,"Copper Plate"

resourceLeadPlate,"Lead Plate"

drugAnti-NorovirusPill,"Anti-Norovirus Pill"

drugAnti-TuberculosisPill,"Anti-Tuberculosis Pill"

drugAnti-InfluenzaPill,"Anti-Influenza Pill"

drugAnti-Norovirusvaccine,"Anti-Norovirus vaccine"

drugAnti-Tuberculosisvaccine,"Anti-Tuberculosis vaccine"

drugAnti-Influenzavaccine,"Anti-Influenza vaccine"


MailPulmonologist,Note from the Unknown
MailPulmonologistDesc,"To the one who found and reads this letter. Survivor! For a long time I tried to create a cure for Tuberculosis and protection against infection of Tuberculosis, I succeeded! But the horde of zombies that were chasing me drove me into a trap. There is little time left and the zombies will break down the doors of the room in which I took refuge. I'll die... Fulfill my last wish! Take the vaccine recipe from my suitcase and share it with good people! Farewell..."

BagPulmonologist1,"Pulmonologist's Suitcase"
BagPulmonologist1Desc,"The suitcase contains a note from the Pulmonologist I."

BagPulmonologist2,"Pulmonologist's Suitcase"
BagPulmonologist2Desc,"The suitcase contains a note from the Pulmonologist II."

BagPulmonologist3,"Pulmonologist's Suitcase"
BagPulmonologist3Desc,"The suitcase contains a note from Pulmonologist III."

BagPulmonologist4,"Pulmonologist's Suitcase"
BagPulmonologist4Desc,"The suitcase contains a note from Pulmonologist IV and an experimental sample of a Tuberculosis and Influenza vaccine."

BagPulmonologist5,"Pulmonologist's Suitcase"
BagPulmonologist5Desc,"The suitcase contains a bloody letter from the Pulmonologist and a recipe for a Tuberculosis and Influenza vaccine."

Note1Pulmonologist,"Pulmonologist's Note I"
Note1PulmonologistDesc,"The note contains the address where the Pulmonologist began experiments to create a vaccine that would stop the effects of the Tuberculosis and Influenza."

Note2Pulmonologist,"Pulmonologist's Note II"
Note2PulmonologistDesc,"In the note, the Pulmonologist complains that it is impossible to work in this building, there are no tools and zombies are constantly attacking. We need to find a new place to work (the address is indicated in the margins of the note)."

Note3Pulmonologist,"Pulmonologist's Note III"
Note3PulmonologistDesc,"In the note, the Pulmonologist reports that he was able to make mod to protect yourself, the protection is complete! All that remains is to find laboratory equipment and create a vaccine against Tuberculosisand and Influenza (the following address is written in small handwriting)."

Note4Pulmonologist,"Pulmonologist's Note IV"
Note4PulmonologistDesc,"In the note, the Pulmonologist reports that he was able to make a pill against Tuberculosis and Influenza, but he was tracked down by a horde of zombies, he will try to hide from the zombies at this address."

Note5Pulmonologist,"Pulmonologist's Note V"
Note5PulmonologistDesc,"In the note, the Pulmonologist reports that he was able to make a vaccine against Tuberculosis and Influenza, but he was tracked down by a horde of zombies, he will try to hide from the zombies at this address."


Note1Pulmonologist,Explore Location
Note1Pulmonologist_subtitle,You must find traces of the Pulmonologist and his research.
Note1Pulmonologist_Desc,You must find traces of the Pulmonologist and his research.
Note1Pulmonologist_offer,"You must find traces of the Pulmonologist and his research. \n\n[FFD700]Are you ready to go on a search?"

Note2Pulmonologist,Explore Location
Note2Pulmonologist_subtitle,You must find traces of the Pulmonologist and his research.
Note2Pulmonologist_Desc,You must find traces of the Pulmonologist and his research.
Note2Pulmonologist_offer,"You must find traces of the Pulmonologist and his research. \n\n[FFD700]Are you ready to go on a search?"

Note3Pulmonologist,Explore Location
Note3Pulmonologist_subtitle,You must find traces of the Pulmonologist and his research.
Note3Pulmonologist_Desc,You must find traces of the Pulmonologist and his research.
Note3Pulmonologist_offer,"You must find traces of the Pulmonologist and his research. \n\n[FFD700]Are you ready to go on a search?"

Note4Pulmonologist,Explore Location
Note4Pulmonologist_subtitle,You must find traces of the Pulmonologist and his research.
Note4Pulmonologist_Desc,You must find traces of the Pulmonologist and his research.
Note4Pulmonologist_offer,"You must find traces of the Pulmonologist and his research. \n\n[FFD700]Are you ready to go on a search?"

Note5Pulmonologist,Explore Location
Note5Pulmonologist_subtitle,You must find traces of the Pulmonologist and his research.
Note5Pulmonologist_Desc,You must find traces of the Pulmonologist and his research.
Note5Pulmonologist_offer,"You must find traces of the Pulmonologist and his research. \n\n[FFD700]Are you ready to go on a search?"




MailGastroenterologist,Note from the Unknown
MailGastroenterologistDesc,"To the one who found and reads this letter. Survivor! For a long time I tried to create a cure for Norovirus and protection against infection of Norovirus, I succeeded! But the horde of zombies that were chasing me drove me into a trap. There is little time left and the zombies will break down the doors of the room in which I took refuge. I'll die... Fulfill my last wish! Take the vaccine recipe from my suitcase and share it with good people! Farewell..."

BagGastroenterologist1,"Gastroenterologist's Suitcase"
BagGastroenterologist1Desc,"The suitcase contains a note from the Gastroenterologist I."

BagGastroenterologist2,"Gastroenterologist's Suitcase"
BagGastroenterologist2Desc,"The suitcase contains a note from the Gastroenterologist II."

BagGastroenterologist3,"Gastroenterologist's Suitcase"
BagGastroenterologist3Desc,"The suitcase contains a note from Gastroenterologist III."

BagGastroenterologist4,"Gastroenterologist's Suitcase"
BagGastroenterologist4Desc,"The suitcase contains a note from Gastroenterologist IV and an experimental sample of a Norovirus vaccine."

BagGastroenterologist5,"Gastroenterologist's Suitcase"
BagGastroenterologist5Desc,"The suitcase contains a bloody letter from the Gastroenterologist and a recipe for a Norovirus vaccine."

Note1Gastroenterologist,"Gastroenterologist's Note I"
Note1GastroenterologistDesc,"The note contains the address where the Gastroenterologist began experiments to create a vaccine that would stop the effects of the Norovirus."

Note2Gastroenterologist,"Gastroenterologist's Note II"
Note2GastroenterologistDesc,"In the note, the Gastroenterologist complains that it is impossible to work in this building, there are no tools and zombies are constantly attacking. We need to find a new place to work (the address is indicated in the margins of the note)."

Note3Gastroenterologist,"Gastroenterologist's Note III"
Note3GastroenterologistDesc,"In the note, the Gastroenterologist reports that he was able to make mod to protect yourself, the protection is complete! All that remains is to find laboratory equipment and create a vaccine against Norovirus (the following address is written in small handwriting)."

Note4Gastroenterologist,"Gastroenterologist's Note IV"
Note4GastroenterologistDesc,"In the note, the Gastroenterologist reports that he was able to make a vaccine against Norovirus, but he was tracked down by a horde of zombies, he will try to hide from the zombies at this address."


Note1Gastroenterologist,Explore Location
Note1Gastroenterologist_subtitle,You must find traces of the Gastroenterologist and his research.
Note1Gastroenterologist_Desc,You must find traces of the Gastroenterologist and his research.
Note1Gastroenterologist_offer,"You must find traces of the Gastroenterologist and his research. \n\n[FFD700]Are you ready to go on a search?"

Note2Gastroenterologist,Explore Location
Note2Gastroenterologist_subtitle,You must find traces of the Gastroenterologist and his research.
Note2Gastroenterologist_Desc,You must find traces of the Gastroenterologist and his research.
Note2Gastroenterologist_offer,"You must find traces of the Gastroenterologist and his research. \n\n[FFD700]Are you ready to go on a search?"

Note3Gastroenterologist,Explore Location
Note3Gastroenterologist_subtitle,You must find traces of the Gastroenterologist and his research.
Note3Gastroenterologist_Desc,You must find traces of the Gastroenterologist and his research.
Note3Gastroenterologist_offer,"You must find traces of the Gastroenterologist and his research. \n\n[FFD700]Are you ready to go on a search?"

Note4Gastroenterologist,Explore Location
Note4Gastroenterologist_subtitle,You must find traces of the Gastroenterologist and his research.
Note4Gastroenterologist_Desc,You must find traces of the Gastroenterologist and his research.
Note4Gastroenterologist_offer,"You must find traces of the Gastroenterologist and his research. \n\n[FFD700]Are you ready to go on a search?"

Note5Gastroenterologist,Explore Location
Note5Gastroenterologist_subtitle,You must find traces of the Gastroenterologist and his research.
Note5Gastroenterologist_Desc,You must find traces of the Gastroenterologist and his research.
Note5Gastroenterologist_offer,"You must find traces of the Gastroenterologist and his research. \n\n[FFD700]Are you ready to go on a search?"


buffInfluenza01GetBetterDesc,You have a treated mild Influenza. Continue medication until Influenza is cleared up.\nGetting hit by zombies or animals will make an Influenza worse.,
buffInfluenza01GetBetterName,Treated Mild Influenza,
buffInfluenza01UntreatedDesc,You have a mild Influenza.\nIt will get worse until treated with honey or antibiotics.\nGetting hit by zombies or animals will make an Influenza worse.,
buffInfluenza01UntreatedName,Mild Influenza,
buffInfluenza01UntreatedTooltip,You are infected. Take antibiotics to avoid symptoms.,
