Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
zombieBurntKhz,entityclasses,Entity,,,Burnt Zombie,,Verbrannter Zombie,Zombi quemado,Zombie brûlé,Zombi bruciato,焼けたゾンビ,불타버린 좀비,Spalony Zombie,Zumbi Queimado,Сгоревший зомби,Yanmış Zombi,烧焦的僵尸,燒焦的殭屍
zombieBurntFeralKhz,entityclasses,Entity,,,Feral Burnt Zombie,,Wilder verbrannter Zombie,Zombi quemado salvaje,Zombie brûlé sauvage,Zombi bruciato selvaggio,野蛮な焼けゾンビ,야생의 번트 좀비,"Dziki, spalony zombie",Zumbi Queimado Selvagem,Дикий сгоревший зомби,Vahşi Yanmış Zombi,野性烧焦僵尸,野性燒焦殭屍
zombieBurntRadiatedKhz,entityclasses,Entity,,,Radiated Burnt Zombie,,Verstrahlter verbrannter Zombie,Zombi quemado radiado,Zombie brûlé irradié,Zombie bruciato irradiato,放射線で焼けたゾンビ,방사능에 탄 좀비,"Promieniowany, spalony zombie",Zumbi Queimado Radiado,Облученный сгоревший зомби,Radyasyona Uğramış Yanmış Zombi,辐射烧伤僵尸,輻射燒傷殭屍
zombieBurntChargedKhz,entityclasses,Entity,,,Charged Burnt Zombie,,Aufgeladener verbrannter Zombie,Zombi quemado cargado,Zombie brûlé chargé,Zombi bruciato carico,チャージされた焼けたゾンビ,충전된 번트 좀비,Naładowany spalony zombie,Zumbi Queimado Carregado,Заряженный сгоревший зомби,Şarjlı Yanmış Zombi,充能烧焦僵尸,充能燒焦殭屍
zombieBurntInfernalKhz,entityclasses,Entity,,,Infernal Burnt Zombie,,Höllischer verbrannter Zombie,Zombi quemado infernal,Zombie brûlé infernal,Zombi bruciato infernale,地獄の焼けゾンビ,지옥불에 탄 좀비,Piekielny spalony zombie,Zumbi Queimado Infernal,Адский сгоревший зомби,Cehennem Yanmış Zombi,地狱烧焦僵尸,地獄燒焦殭屍
zombieBusinessmanKhz,entityclasses,Entity,,,Zombie Businessman,,Zombie-Geschäftsmann,Hombre de negocios zombi,Homme d'affaires zombie,Uomo d'affari zombie,ゾンビビジネスマン,좀비 사업가,Biznesmen-zombie,Empresário Zumbi,Зомби-бизнесмен,Zombi İş Adamı,僵尸商人,殭屍商人
zombieBusinessmanFeralKhz,entityclasses,Entity,,,Feral Zombie Businessman,,Wilder Zombie-Geschäftsmann,Empresario zombi salvaje,Homme d'affaires zombie sauvage,Uomo d'affari zombi selvaggio,野生のゾンビビジネスマン,야생 좀비 사업가,Dziki biznesmen zombie,Empresário Zumbi Selvagem,Дикий зомби-бизнесмен,Vahşi Zombi İş Adamı,野性僵尸商人,野殭屍商人
zombieBusinessmanRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Businessman,,Verstrahlter Zombie-Geschäftsmann,Empresario zombi irradiado,Homme d'affaires zombie irradié,Uomo d'affari zombie irradiato,放射線を浴びたゾンビビジネスマン,방사능 좀비 사업가,Promieniowany biznesmen zombie,Empresário Zumbi Radiado,Радиационный зомби-бизнесмен,Radyasyonlu Zombi İş Adamı,辐射僵尸商人,輻射殭屍商人
zombieBusinessmanChargedKhz,entityclasses,Entity,,,Charged Zombie Businessman,,Aufgeladener Zombie-Geschäftsmann,Empresario zombi cargado,Homme d'affaires zombie accusé,Imprenditore zombie accusato,チャージドゾンビビジネスマン,충전된 좀비 사업가,Oskarżony biznesmen zombie,Empresário Zumbi Acusado,Заряженный зомби-бизнесмен,Suçlu Zombi İş Adamı,充电僵尸商人,充電殭屍商人
zombieBusinessmanInfernalKhz,entityclasses,Entity,,,Infernal Zombie Businessman,,Höllischer Zombie-Geschäftsmann,Empresario zombi infernal,Homme d'affaires zombie infernal,Uomo d'affari zombie infernale,地獄のゾンビビジネスマン,지옥의 좀비 사업가,Piekielny Biznesmen Zombie,Empresário Zumbi Infernal,Адский зомби-бизнесмен,Cehennem Zombi İş Adamı,地狱僵尸商人,地獄殭屍商人
